MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,"Number of 
individuals [3]",Number of volunteer prepared returns [4],,,,Number of refund anticipation check returns [5],Number of elderly returns [6],Adjusted gross income (AGI) [7],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [8],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,Taxable individual retirement arrangements distributions,,Taxable pensions and annuities,,"Number of 
farm returns",Unemployment compensation [9],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employed (Keogh) retirement plans,,Self-employed health insurance deduction,,Individual retirement arrangement payments,,Student loan interest deduction,,Total standard deduction,,Basic standard deduction,,Additional standard deduction,,Total itemized deductions,,,"Total medical and dental 
expenses deduction",,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Personal property taxes,,Limited state and local taxes paid,,Total taxes paid,,Home mortgage interest paid ,,"Home mortgage interest paid 
to personal seller",,Deductible points,,Investment interest paid,,Total charitable contributions,,Other non-limited miscellaneous deduction,,"Qualified business income deduction
",,Taxable income,,Income tax before credits,,Alternative minimum tax,,"Excess advance 
premium tax credit repayment",,Total tax credits [10],,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contributions credit,,Child and other dependent credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,Total tax payments,,Earned income credit [11],,"Excess earned income credit 
(refundable) [12]",,Additional child tax credit,,Refundable education credit [13],,Net premium tax credit,,Income tax after credits,,Total tax liability [14],,Total additional Medicare tax,,Net investment income tax,,Tax due at time of filing [15],,Total overpayments,,Overpayments refunded [16],,Credited to next year's estimated tax,,
,,,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
earned income credit",,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144),(145),(146),(147),(148),
00000,Total,"2,826,460","1,353,730","1,044,590","361,630","2,600,460","84,220","1,368,850","1,842,450","5,290,730","50,910","21,850","29,060","3,320","393,840","747,000","188,178,457","2,826,390","190,309,019","2,345,230","129,276,574","869,420","1,656,375","517,770","4,372,086","483,060","3,428,422","63,030","58,963","415,530","5,062,816","457,380","8,436,556","315,330","5,866,454","587,440","14,036,162","81,110","68,040","197,130","448,440","6,552,035","132,910","10,286,718","669,840","2,130,562","59,630","15,410","10,820","264,893","65,740","483,219","32,340","160,810","250,640","278,389","2,616,570","45,479,728","2,616,460","44,503,551","491,780","969,686","204,210","7,278,502","46,926,442","57,720","1,078,350","170,960","1,902,090","25,660","43,563","177,780","877,883","149,350","116,483","198,270","1,516,482","202,940","1,551,492","149,120","1,518,418",970,"7,652","4,100","1,710","7,570","94,967","168,040","2,381,057","9,790","232,851","384,710","2,136,784","2,215,590","136,398,819","2,203,940","22,789,842",530,"10,251","44,150","47,622","1,032,720","1,998,092","154,260","83,866","116,530","65,741","134,570","140,044","217,390","40,803","697,140","1,512,311","21,990","23,684","323,320","971,081","91,230","742,087","99,110","804,133","2,672,910","26,476,509","490,970","1,188,576","437,980","1,063,160","364,280","659,083","105,660","90,900","29,940","21,719","1,897,270","20,788,528","2,043,650","22,302,631","51,240","98,853","61,420","238,767","536,430","2,510,104","2,190,570","6,733,603","2,144,230","5,803,829","54,030","849,513",
00000,"$1 under $25,000",965810,687640,108720,151590,880880,37350,398650,650980,1252230,35430,14230,21200,3290,161910,222930,11881772,965740,12061188,743780,9315134,157360,107745,81040,134522,73830,85571,2020,1088,132750,775986,69500,90948,61720,379406,138560,1193062,17400,18840,54320,53480,111837,10280,21002,144700,179416,1340,304,100,1238,10730,33507,1450,4821,24100,21348,954850,13210050,954840,12884707,174610,326909,9270,228417,169916,7240,135081,2030,2617,4430,3178,4810,15618,4160,1826,8340,26537,8820,28031,2800,19576,0,0,0,0,40,131,4760,16690,150,3489,27640,17481,363460,1983466,359610,201776,0,0,14090,5404,128960,41282,4070,153,4620,1630,20290,10547,47050,7848,54010,19076,170,59,108220,149184,49830,413173,51320,419516,848960,1831008,321620,802755,287550,722947,168180,262512,31450,26383,21560,13455,270930,159513,370160,312532,0,0,0,0,74000,63006,803150,1580339,799880,1572358,3120,5113,
00000,"$25,000 under $50,000",712350,386350,166580,138960,656950,20700,318010,527850,1263110,11290,5840,5450,30,141390,159380,25827033,712350,26105786,616390,21247505,152070,130190,79800,194659,73790,128686,6990,4437,86420,681802,69590,189159,60400,613253,128950,2115261,19690,23220,64252,125550,890237,15380,95496,154820,278753,15800,3792,450,3849,11760,51424,8880,33635,75920,78156,691400,11414292,691390,11207532,105960,209007,21160,517641,856814,14320,249122,13760,25126,6510,7201,14200,41983,12680,7359,19670,75332,20770,80187,11060,74744,60,349,120,40,200,378,14930,78622,820,10389,78330,107553,705540,13819395,699920,1501810,0,0,21740,18343,317750,348221,18490,928,26310,15061,40890,39839,135010,26992,207830,263249,3750,2439,62250,144521,35260,274558,36240,290441,691730,2781079,166170,384236,148330,339190,152520,314065,23680,19462,8040,7797,533740,1157086,565170,1315335,0,0,0,0,105760,146403,602850,1609799,598360,1596737,6270,11885,
00000,"$50,000 under $75,000",408950,164180,188140,43840,377120,10840,212730,274490,842220,3390,1380,2010,0,51390,121880,25193072,408950,25462361,348280,19311865,141530,144140,79060,264633,73560,182019,12970,9338,60390,550310,69600,281936,53950,748198,104610,2507181,16710,12780,37320,95900,1489964,17310,173841,118670,269289,12160,3156,330,3244,10300,58660,8330,38077,60250,71551,380020,7263722,380020,7110525,77690,153038,29300,715442,1903094,13130,231638,24270,69497,4380,6438,24680,75747,21240,12359,28070,149771,28940,153930,20680,148671,70,518,490,227,140,211,22190,127313,1650,21854,67620,146960,407840,17084696,406730,2050862,0,0,6230,14615,180660,384497,23710,1804,19780,10963,25240,29028,35330,5963,133740,325814,5460,4875,44350,118820,5870,52383,8900,74596,401630,2461881,3180,1585,2100,1023,38260,72979,15750,13566,340,467,365390,1669894,377360,1806715,0,0,0,0,96060,195706,313970,841558,308400,825414,7740,16457,
00000,"$75,000 under $100,000",263150,61460,179850,15740,243570,5910,147020,167640,631400,630,270,360,0,22360,86620,22858709,263150,23074864,223380,16792613,118000,140857,68280,287530,63730,205778,12320,9519,42260,458545,58710,323583,44330,826057,79210,2415889,10220,6760,20219,68000,1387968,14170,210361,81260,216155,10940,2989,340,4459,5860,39927,4580,25300,38530,44937,234260,5148815,234260,5036092,54700,112504,27790,710888,2529598,8780,159833,24360,100961,2050,4061,24500,83319,20290,12280,26940,185938,27660,189208,20530,155853,140,725,360,137,300,618,21230,135891,570,9220,53170,138176,262810,16820578,262210,2124156,0,0,1760,7293,125460,343612,21330,2265,19630,11601,20410,23792,0,0,100090,294063,3480,4077,31650,95859,270,1973,2290,17117,259510,2323243,0,0,0,0,5280,9434,11850,10420,0,0,253840,1777900,256740,1895307,0,0,0,0,68250,177267,193040,608373,187490,588321,5610,15458,
