price,bedrooms,bathrooms,sqft_living,grade,prop_crime_rate_per_1k
221900.0,3.0,1.0,1180.0,7.0,12.565413987679802
205425.0,2.0,1.0,880.0,6.0,12.565413987679802
445000.0,3.0,2.25,2100.0,8.0,12.565413987679802
236000.0,3.0,1.0,1300.0,7.0,12.565413987679802
170000.0,2.0,1.0,860.0,6.0,12.565413987679802
245000.0,3.0,1.75,1740.0,7.0,12.565413987679802
165000.0,4.0,1.0,1000.0,6.0,12.565413987679802
239900.0,4.0,1.0,1000.0,6.0,12.565413987679802
339000.0,4.0,1.5,2390.0,7.0,12.565413987679802
290900.0,2.0,2.0,1610.0,6.0,12.565413987679802
190000.0,2.0,1.0,630.0,6.0,12.565413987679802
260000.0,3.0,1.0,1180.0,6.0,12.565413987679802
360000.0,4.0,2.5,1840.0,7.0,12.565413987679802
289500.0,3.0,1.0,960.0,6.0,12.565413987679802
188000.0,2.0,1.5,1120.0,6.0,12.565413987679802
350000.0,5.0,3.0,2520.0,8.0,12.565413987679802
164808.0,3.0,1.0,1250.0,7.0,12.565413987679802
310000.0,4.0,3.0,2010.0,7.0,12.565413987679802
825000.0,2.0,1.0,1150.0,6.0,12.565413987679802
269000.0,3.0,1.0,1690.0,7.0,12.565413987679802
252500.0,3.0,2.0,1150.0,7.0,12.565413987679802
790000.0,4.0,1.75,2460.0,7.0,12.565413987679802
260000.0,2.0,1.0,1120.0,6.0,12.565413987679802
245000.0,4.0,1.5,1280.0,6.0,12.565413987679802
1700000.0,4.0,3.75,3190.0,10.0,12.565413987679802
612000.0,6.0,3.0,3840.0,8.0,12.565413987679802
285000.0,3.0,2.0,2110.0,6.0,12.565413987679802
299000.0,4.0,2.5,1950.0,7.0,12.565413987679802
212000.0,4.0,2.0,1880.0,6.0,12.565413987679802
240000.0,4.0,1.5,1920.0,8.0,12.565413987679802
255000.0,4.0,2.0,2430.0,7.0,12.565413987679802
335000.0,4.0,2.5,2330.0,8.0,12.565413987679802
194000.0,3.0,1.5,1010.0,6.0,12.565413987679802
251700.0,3.0,2.25,1810.0,7.0,12.565413987679802
150000.0,3.0,1.0,1450.0,7.0,12.565413987679802
280005.0,3.0,1.5,1130.0,7.0,12.565413987679802
243000.0,2.0,1.0,1770.0,7.0,12.565413987679802
400000.0,6.0,2.0,2350.0,8.0,12.565413987679802
355000.0,3.0,2.25,2550.0,7.0,12.565413987679802
294000.0,3.0,1.0,1320.0,7.0,12.565413987679802
210000.0,3.0,1.0,1200.0,6.0,12.565413987679802
184500.0,2.0,1.0,720.0,6.0,12.565413987679802
199000.0,4.0,2.0,2030.0,7.0,12.565413987679802
415000.0,5.0,1.75,3700.0,8.0,12.565413987679802
285000.0,4.0,1.75,2080.0,7.0,12.565413987679802
200000.0,4.0,2.0,2090.0,7.0,12.565413987679802
700000.0,2.0,1.0,1160.0,6.0,12.565413987679802
178000.0,5.0,1.5,1990.0,7.0,12.565413987679802
160000.0,2.0,1.0,1180.0,6.0,12.565413987679802
100000.0,2.0,1.0,790.0,6.0,12.565413987679802
330000.0,3.0,2.25,1620.0,7.0,12.565413987679802
355000.0,4.0,1.5,2020.0,7.0,12.565413987679802
119900.0,2.0,1.0,700.0,6.0,12.565413987679802
200000.0,4.0,1.0,1070.0,7.0,12.565413987679802
345100.0,3.0,3.75,1950.0,8.0,12.565413987679802
200000.0,3.0,1.0,960.0,6.0,12.565413987679802
210000.0,3.0,1.75,1400.0,6.0,12.565413987679802
359950.0,3.0,2.25,1940.0,8.0,12.565413987679802
360000.0,3.0,2.0,1960.0,6.0,12.565413987679802
265000.0,3.0,1.0,1360.0,6.0,12.565413987679802
195000.0,2.0,1.0,720.0,6.0,12.565413987679802
353000.0,4.0,2.75,1920.0,8.0,12.565413987679802
499900.0,3.0,1.75,2430.0,8.0,12.565413987679802
169000.0,3.0,1.0,890.0,6.0,12.565413987679802
220000.0,3.0,1.75,1900.0,7.0,12.565413987679802
279000.0,4.0,1.0,1210.0,7.0,12.565413987679802
372500.0,5.0,3.0,2480.0,7.0,12.565413987679802
235000.0,2.0,1.0,880.0,7.0,12.565413987679802
1100000.0,4.0,3.25,3190.0,8.0,12.565413987679802
258000.0,3.0,1.75,1040.0,6.0,12.565413987679802
241000.0,3.0,1.0,880.0,6.0,12.565413987679802
261000.0,3.0,1.0,1780.0,7.0,12.565413987679802
390000.0,4.0,2.25,3060.0,7.0,12.565413987679802
375000.0,3.0,2.5,2320.0,7.0,12.565413987679802
352000.0,4.0,1.5,1440.0,7.0,12.565413987679802
287000.0,2.0,1.0,930.0,7.0,12.565413987679802
241000.0,3.0,1.0,1150.0,6.0,12.565413987679802
295000.0,5.0,3.5,2100.0,7.0,12.565413987679802
800000.0,4.0,2.5,4940.0,9.0,12.565413987679802
375000.0,5.0,1.75,2230.0,7.0,12.565413987679802
212000.0,3.0,1.0,1040.0,6.0,12.565413987679802
350000.0,3.0,1.75,2010.0,7.0,12.565413987679802
336000.0,3.0,3.0,1790.0,7.0,12.565413987679802
303100.0,3.0,1.5,1640.0,8.0,12.565413987679802
356200.0,3.0,2.0,1690.0,7.0,12.565413987679802
205000.0,3.0,1.0,860.0,6.0,12.565413987679802
353000.0,3.0,1.75,2190.0,7.0,12.565413987679802
552000.0,4.0,2.75,3160.0,7.0,12.565413987679802
343000.0,3.0,1.75,2210.0,7.0,12.565413987679802
288250.0,3.0,1.75,2110.0,7.0,12.565413987679802
216000.0,2.0,1.0,1810.0,6.0,12.565413987679802
340000.0,4.0,2.25,2060.0,7.0,12.565413987679802
258000.0,2.0,2.0,750.0,7.0,12.565413987679802
472000.0,3.0,1.75,2180.0,8.0,12.565413987679802
170000.0,2.0,1.0,810.0,6.0,12.565413987679802
199950.0,3.0,1.0,1340.0,6.0,12.565413987679802
315000.0,4.0,2.5,1950.0,7.0,12.565413987679802
153000.0,3.0,1.0,1270.0,6.0,12.565413987679802
203000.0,3.0,1.75,1190.0,7.0,12.565413987679802
210000.0,4.0,1.75,2090.0,7.0,12.565413987679802
361000.0,3.0,2.25,2470.0,7.0,12.565413987679802
315000.0,4.0,2.0,1780.0,6.0,12.565413987679802
495000.0,5.0,1.0,1810.0,7.0,12.565413987679802
190000.0,1.0,0.75,930.0,6.0,12.565413987679802
239300.0,3.0,1.0,1070.0,7.0,12.565413987679802
248000.0,4.0,2.0,2080.0,7.0,12.565413987679802
289900.0,3.0,1.0,1180.0,6.0,12.565413987679802
159075.0,4.0,1.5,1580.0,6.0,12.565413987679802
323500.0,3.0,3.0,2240.0,7.0,12.565413987679802
350000.0,4.0,1.75,1820.0,7.0,12.565413987679802
225000.0,3.0,1.5,1220.0,7.0,12.565413987679802
265950.0,3.0,1.5,1150.0,6.0,12.565413987679802
304000.0,3.0,1.75,1720.0,7.0,12.565413987679802
323000.0,3.0,1.75,1830.0,7.0,12.565413987679802
230000.0,3.0,1.75,1420.0,5.0,12.565413987679802
272000.0,3.0,2.0,1200.0,7.0,12.565413987679802
349170.0,4.0,1.75,1670.0,7.0,12.565413987679802
264250.0,3.0,1.0,1420.0,6.0,12.565413987679802
339950.0,5.0,2.0,1890.0,7.0,12.565413987679802
315000.0,4.0,1.75,1850.0,7.0,12.565413987679802
270000.0,4.0,2.25,2600.0,7.0,12.565413987679802
256000.0,4.0,1.75,1270.0,7.0,12.565413987679802
284200.0,3.0,1.75,1540.0,7.0,12.565413987679802
230000.0,4.0,1.75,1850.0,6.0,12.565413987679802
292050.0,5.0,3.0,2840.0,7.0,12.565413987679802
228000.0,4.0,1.75,2000.0,7.0,12.565413987679802
339000.0,4.0,2.5,1740.0,7.0,12.565413987679802
235000.0,3.0,1.0,1210.0,7.0,12.565413987679802
466000.0,4.0,2.0,2240.0,8.0,12.565413987679802
257000.0,3.0,1.75,1800.0,7.0,12.565413987679802
166000.0,2.0,1.0,870.0,6.0,12.565413987679802
340500.0,3.0,2.5,3070.0,8.0,12.565413987679802
269000.0,2.0,1.5,1010.0,7.0,12.565413987679802
301350.0,3.0,3.0,1860.0,7.0,12.565413987679802
290500.0,4.0,2.5,1680.0,7.0,12.565413987679802
415000.0,4.0,2.5,2170.0,7.0,12.565413987679802
251000.0,4.0,2.0,1650.0,7.0,12.565413987679802
450000.0,2.0,2.75,2810.0,7.0,12.565413987679802
318000.0,3.0,2.25,1690.0,7.0,12.565413987679802
238950.0,2.0,1.0,1190.0,7.0,12.565413987679802
137900.0,3.0,1.75,1160.0,6.0,12.565413987679802
315000.0,2.0,1.0,2080.0,7.0,12.565413987679802
354000.0,6.0,3.5,3020.0,7.0,12.565413987679802
324950.0,4.0,1.75,2320.0,7.0,12.565413987679802
750000.0,5.0,1.75,2640.0,8.0,12.565413987679802
230000.0,5.0,2.0,1910.0,6.0,12.565413987679802
219950.0,2.0,1.0,990.0,7.0,12.565413987679802
343500.0,4.0,1.75,1760.0,7.0,12.565413987679802
275000.0,4.0,1.75,1690.0,7.0,12.565413987679802
272000.0,1.0,0.75,1040.0,7.0,12.565413987679802
419000.0,5.0,3.0,2190.0,7.0,12.565413987679802
286300.0,3.0,2.75,2000.0,8.0,12.565413987679802
317000.0,5.0,2.5,2360.0,7.0,12.565413987679802
287500.0,5.0,2.0,2020.0,7.0,12.565413987679802
222900.0,2.0,1.0,1110.0,6.0,12.565413987679802
625000.0,5.0,3.5,4010.0,9.0,12.565413987679802
215000.0,2.0,1.0,710.0,6.0,12.565413987679802
280000.0,4.0,1.0,1880.0,7.0,12.565413987679802
218000.0,2.0,1.5,2010.0,7.0,12.565413987679802
281000.0,2.0,1.0,1280.0,7.0,12.565413987679802
363500.0,4.0,1.75,2180.0,7.0,12.565413987679802
170000.0,3.0,1.0,790.0,6.0,12.565413987679802
207000.0,3.0,1.0,860.0,6.0,12.565413987679802
319950.0,2.0,1.0,1070.0,7.0,12.565413987679802
245000.0,4.0,1.0,1530.0,7.0,12.565413987679802
255000.0,3.0,1.5,1320.0,7.0,12.565413987679802
372000.0,4.0,2.5,2070.0,8.0,12.565413987679802
300000.0,4.0,2.0,2360.0,7.0,12.565413987679802
150000.0,4.0,2.0,1460.0,6.0,12.565413987679802
190000.0,2.0,1.0,930.0,6.0,12.565413987679802
265000.0,4.0,1.75,1970.0,7.0,12.565413987679802
415000.0,4.0,1.75,2230.0,8.0,12.565413987679802
265000.0,2.0,2.0,1860.0,8.0,12.565413987679802
200000.0,2.0,1.0,790.0,6.0,12.565413987679802
229950.0,2.0,1.0,920.0,6.0,12.565413987679802
229950.0,2.0,1.0,850.0,6.0,12.565413987679802
452100.0,4.0,2.5,3160.0,8.0,12.565413987679802
223000.0,3.0,2.0,1310.0,6.0,12.565413987679802
361000.0,3.0,1.75,2130.0,7.0,12.565413987679802
260000.0,4.0,1.75,2010.0,7.0,12.565413987679802
335750.0,3.0,3.0,2400.0,7.0,12.565413987679802
406000.0,4.0,1.0,1580.0,7.0,12.565413987679802
229000.0,3.0,2.5,1190.0,7.0,12.565413987679802
